fileCMLP_19.datTalpha15.0 83.00 ;83.00 ;83.00 ;83.00 ;83.00 ; AverageL=83.00execution time: 129.82 secondenumber CS=5795.40min: 83.00max: 83.00
fileCMLP_20.datTalpha11.0 218.00 ;218.00 ;218.00 ;218.00 ;218.00 ; AverageL=218.00execution time: 401.21 secondenumber CS=14402.00min: 218.00max: 218.00
fileCMLP_20.datTalpha13.0 186.04 ;185.40 ;186.60 ;185.32 ;186.44 ; AverageL=185.96execution time: 381.20 secondenumber CS=13884.80min: 185.32max: 186.60
fileCMLP_20.datTalpha15.0 101.00 ;101.00 ;101.00 ;101.00 ;101.00 ; AverageL=101.00execution time: 146.80 secondenumber CS=9263.00min: 101.00max: 101.00
fileCMLP_25.datTalpha11.0 291.00 ;291.00 ;291.00 ;291.00 ;291.00 ; AverageL=291.00execution time: 1434.54 secondenumber CS=20797.60min: 291.00max: 291.00
fileCMLP_25.datTalpha13.0 274.15 ;273.65 ;273.56 ;271.41 ;273.12 ; AverageL=273.18execution time: 1250.69 secondenumber CS=24848.00min: 271.41max: 274.15
fileCMLP_25.datTalpha15.0 180.00 ;180.00 ;180.00 ;180.00 ;180.00 ; AverageL=180.00execution time: 405.82 secondenumber CS=13458.60min: 180.00max: 180.00
fileCMLP_26.datTalpha11.0 183.00 ;183.00 ;183.00 ;183.00 ;183.00 ; AverageL=183.00execution time: 1281.42 secondenumber CS=12615.60min: 183.00max: 183.00
fileCMLP_26.datTalpha13.0 183.00 ;183.00 ;183.00 ;183.00 ;183.00 ; AverageL=183.00execution time: 850.43 secondenumber CS=14558.60min: 183.00max: 183.00
fileCMLP_26.datTalpha15.0 109.00 ;109.00 ;109.00 ;109.00 ;109.00 ; AverageL=109.00execution time: 350.23 secondenumber CS=9664.00min: 109.00max: 109.00
fileCMLP_27.datTalpha15.0 162.00 ;162.00 ;162.00 ;162.00 ;162.00 ; AverageL=162.00execution time: 461.06 secondenumber CS=13280.60min: 162.00max: 162.00
fileCMLP_28.datTalpha11.0 300.00 ;300.00 ;300.00 ;300.00 ;300.00 ; AverageL=300.00execution time: 1260.71 secondenumber CS=16909.00min: 300.00max: 300.00
fileCMLP_28.datTalpha13.0 268.42 ;268.44 ;269.00 ;268.77 ;269.92 ; AverageL=268.91execution time: 1085.59 secondenumber CS=17980.00min: 268.42max: 269.92
fileCMLP_28.datTalpha15.0 130.00 ;130.00 ;130.00 ;130.00 ;130.00 ; AverageL=130.00execution time: 340.92 secondenumber CS=9418.20min: 130.00max: 130.00
fileCMLP_33.datTalpha11.0 369.00 ;369.00 ;369.00 ;369.00 ;369.00 ; AverageL=369.00execution time: 2557.59 secondenumber CS=22216.60min: 369.00max: 369.00
fileCMLP_33.datTalpha13.0 329.28 ;334.19 ;334.00 ;334.57 ;334.23 ; AverageL=333.25execution time: 2589.73 secondenumber CS=26309.60min: 329.28max: 334.57
fileCMLP_33.datTalpha15.0 188.00 ;188.00 ;188.00 ;188.00 ;188.00 ; AverageL=188.00execution time: 905.75 secondenumber CS=14644.40min: 188.00max: 188.00
