15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00 15.00
43.48 33.00 60.97 47.43 59.60 58.48 61.00 39.76 29.00 52.27 51.56 51.75 31.38 31.75 20.92 61.00
40.11 47.00 47.00 41.34 47.00 45.23 47.00 41.06 28.97 43.44 41.68 47.00 41.25 37.63 15.28 47.00
21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00 21.00
145.16 104.31 96.53 136.50 89.92 121.21 63.00 49.00 133.81 94.47 67.69 146.33 138.44 136.58 147.18 151.36
125.21 114.96 106.10 125.21 109.65 125.01 63.00 49.00 125.21 103.39 80.16 125.21 125.21 125.21 125.21 125.21
49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00 49.00
74.44 119.87 93.48 61.82 93.63 103.56 87.16 97.00 61.82 115.25 79.95 77.25 62.68 106.18 101.71 120.00
113.90 118.56 98.78 65.00 116.34 118.56 107.28 118.56 65.00 116.57 80.94 88.00 109.92 112.19 111.80 118.56
65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00 65.00
139.36 87.22 140.65 118.20 85.05 110.27 67.42 147.28 125.82 104.06 88.86 144.55 67.44 101.44 92.50 147.28
119.84 106.38 119.84 117.78 82.99 112.49 72.22 119.84 114.88 108.04 83.27 119.84 69.47 97.57 113.47 119.84
76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00 76.00
103.83 158.86 122.71 149.21 147.36 79.01 159.22 96.84 134.72 126.56 111.01 135.68 128.36 131.38 103.38 171.35
106.73 146.19 144.66 141.19 144.60 87.59 147.16 100.25 142.12 139.24 121.76 139.47 130.78 130.98 90.39 147.16
103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00 103.00
204.37 229.91 120.93 228.16 166.90 219.72 99.00 176.05 168.11 141.00 180.60 119.06 164.88 225.37 220.21 242.21
180.86 183.64 121.00 180.84 174.51 177.74 98.47 156.10 166.65 141.00 169.83 112.30 175.26 181.21 170.61 183.64
99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00 99.00
206.51 168.22 157.10 137.04 195.29 144.12 165.28 178.40 152.09 207.19 129.18 197.88 177.82 221.31 180.90 238.03
196.40 170.21 164.00 144.58 197.44 154.00 169.20 177.36 156.31 195.54 140.87 192.23 182.65 201.98 183.01 201.98
154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00 154.00
